epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1755,1.52309,3.79525,1.70793,0.00319,0.63298,0.18237,0.09254,1.1637,4.18891,1.48631,0.00015,0.00015,0.00015
2,100.241,1.27753,3.04118,1.50553,0.00404,0.63967,0.18729,0.11868,1.09489,4.01366,1.4487,0.000309406,0.000309406,0.000309406
3,150.091,1.24661,2.51601,1.46503,0.66075,0.30631,0.25334,0.12358,1.12451,3.68933,1.44212,0.000465595,0.000465595,0.000465595
4,199.716,1.29706,2.43195,1.46792,0.54381,0.12713,0.29842,0.17919,1.37773,3.75395,1.65743,0.000618566,0.000618566,0.000618566
5,249.126,1.26747,2.25623,1.44602,0.4176,0.20833,0.17392,0.0879,1.46344,3.59254,1.75911,0.00076832,0.00076832,0.00076832
6,297.947,1.26312,2.16314,1.41522,0.48044,0.18833,0.33538,0.18621,1.81762,3.82651,2.06244,0.000914856,0.000914856,0.000914856
7,346.914,1.24598,2.03876,1.45462,0.36333,0.39948,0.34371,0.18486,1.71289,3.61615,2.04879,0.00105817,0.00105817,0.00105817
8,395.894,1.32095,2.08538,1.48085,0.41657,0.28015,0.33108,0.18712,1.65808,3.81674,2.02101,0.00116337,0.00116337,0.00116337
9,444.804,1.27075,2.01765,1.4327,0.3939,0.55334,0.47689,0.22191,1.79962,3.6133,2.23661,0.001151,0.001151,0.001151
10,493.643,1.31078,1.99159,1.45314,0.4453,0.59007,0.51259,0.27923,1.58711,3.76781,2.04379,0.00113863,0.00113863,0.00113863
11,542.687,1.25936,1.88005,1.44703,0.57514,0.49116,0.51604,0.30183,1.62684,3.23479,2.01298,0.00112625,0.00112625,0.00112625
12,591.445,1.20016,1.7912,1.35899,0.442,0.62404,0.50618,0.27638,1.6409,3.00548,2.0041,0.00111388,0.00111388,0.00111388
13,640.328,1.22292,1.71086,1.39707,0.48065,0.54976,0.488,0.25353,1.74489,3.07456,2.12007,0.0011015,0.0011015,0.0011015
14,688.987,1.2036,1.77422,1.40159,0.54956,0.5763,0.55591,0.29852,1.60948,2.83247,1.91202,0.00108913,0.00108913,0.00108913
15,737.747,1.1759,1.62101,1.39169,0.59746,0.58173,0.54461,0.32772,1.65979,3.30528,2.10787,0.00107675,0.00107675,0.00107675
16,786.446,1.10424,1.66574,1.35858,0.51239,0.647,0.57309,0.30383,1.58827,2.58078,2.01388,0.00106437,0.00106437,0.00106437
17,835.177,1.21227,1.62627,1.42555,0.43872,0.50648,0.42538,0.22881,1.74835,2.95905,2.12144,0.001052,0.001052,0.001052
18,883.983,1.09291,1.49952,1.29522,0.61773,0.56656,0.56941,0.32871,1.4406,2.59794,1.83133,0.00103962,0.00103962,0.00103962
19,932.676,1.10001,1.45924,1.28264,0.61028,0.65649,0.58712,0.34082,1.44651,2.51378,1.87645,0.00102725,0.00102725,0.00102725
20,981.341,1.09714,1.50507,1.32348,0.61328,0.54954,0.56067,0.33839,1.51264,2.34061,1.91484,0.00101488,0.00101488,0.00101488
21,1029.94,1.04134,1.29812,1.2478,0.72555,0.57508,0.626,0.38838,1.40689,2.20474,1.85358,0.0010025,0.0010025,0.0010025
22,1078.35,1.10722,1.40614,1.31366,0.63091,0.60369,0.60373,0.38424,1.4086,2.12086,1.75954,0.000990125,0.000990125,0.000990125
23,1127.03,1.06241,1.32458,1.26381,0.81812,0.55638,0.59865,0.35836,1.56344,2.33602,1.93885,0.00097775,0.00097775,0.00097775
24,1175.61,1.06652,1.34889,1.24376,0.7698,0.54837,0.55987,0.34108,1.63333,2.19223,1.95542,0.000965375,0.000965375,0.000965375
25,1224.11,1.03567,1.33011,1.30317,0.54542,0.6399,0.57826,0.32407,1.64353,2.41448,1.95972,0.000953,0.000953,0.000953
26,1272.72,1.03884,1.29907,1.26948,0.66446,0.60598,0.65956,0.4009,1.44648,2.55235,1.74655,0.000940625,0.000940625,0.000940625
27,1321.36,0.995,1.19673,1.258,0.69885,0.6292,0.66096,0.41486,1.46012,2.07506,1.70253,0.00092825,0.00092825,0.00092825
28,1370.01,1.03979,1.22874,1.26515,0.58143,0.64792,0.61689,0.38895,1.37886,1.9857,1.67004,0.000915875,0.000915875,0.000915875
29,1418.68,0.94755,1.1777,1.24141,0.77167,0.63564,0.70064,0.43872,1.35692,1.87167,1.66747,0.0009035,0.0009035,0.0009035
30,1467.24,0.98107,1.16374,1.23615,0.7255,0.67303,0.71781,0.43971,1.44063,1.86677,1.71744,0.000891125,0.000891125,0.000891125
31,1515.87,0.96217,1.18773,1.17838,0.74576,0.65819,0.67846,0.40985,1.51587,1.83156,1.81821,0.00087875,0.00087875,0.00087875
32,1564.13,0.94922,1.12141,1.19378,0.8046,0.65007,0.71286,0.43281,1.53103,1.83322,1.86468,0.000866375,0.000866375,0.000866375
33,1612.4,0.97307,1.10835,1.2029,0.79766,0.64718,0.72818,0.43056,1.38999,1.90533,1.71015,0.000854,0.000854,0.000854
34,1660.81,0.95906,1.13781,1.23661,0.63431,0.64936,0.6619,0.39793,1.50852,2.08965,1.82701,0.000841625,0.000841625,0.000841625
35,1708.98,0.93512,1.05525,1.16932,0.67273,0.783,0.75006,0.43253,1.44086,1.74868,1.73316,0.00082925,0.00082925,0.00082925
36,1757.24,0.91777,1.06958,1.19152,0.81603,0.73568,0.76157,0.47671,1.38032,1.66907,1.70674,0.000816875,0.000816875,0.000816875
37,1805.56,0.8967,0.96351,1.14755,0.79611,0.70996,0.71776,0.44775,1.49084,1.71496,1.83582,0.0008045,0.0008045,0.0008045
38,1853.74,0.90053,1.04139,1.19066,0.81984,0.64552,0.69921,0.44231,1.42878,1.69602,1.75691,0.000792125,0.000792125,0.000792125
39,1901.88,0.88003,0.93764,1.1691,0.74982,0.63134,0.70326,0.43069,1.38338,1.64169,1.69683,0.00077975,0.00077975,0.00077975
40,1950.27,0.90795,0.97224,1.1914,0.76753,0.71063,0.72118,0.46338,1.34704,1.58387,1.66972,0.000767375,0.000767375,0.000767375
41,1998.54,0.87865,0.96078,1.16278,0.76391,0.70567,0.73996,0.47797,1.35798,1.6431,1.70798,0.000755,0.000755,0.000755
42,2046.82,0.85225,0.92389,1.14701,0.86749,0.6744,0.75926,0.46753,1.37079,1.60464,1.6859,0.000742625,0.000742625,0.000742625
43,2095.1,0.87871,0.93008,1.16851,0.7815,0.67159,0.76897,0.48008,1.31438,1.6541,1.65348,0.00073025,0.00073025,0.00073025
44,2143.63,0.87988,0.90535,1.15712,0.74041,0.72158,0.7452,0.47319,1.27593,1.59384,1.63032,0.000717875,0.000717875,0.000717875
45,2191.95,0.84173,0.87898,1.14912,0.86697,0.67501,0.74741,0.48665,1.38029,1.59672,1.70128,0.0007055,0.0007055,0.0007055
46,2240.36,0.83186,0.89245,1.12764,0.7811,0.68342,0.71827,0.46231,1.41812,1.60163,1.7209,0.000693125,0.000693125,0.000693125
47,2288.52,0.83415,0.84992,1.13666,0.80974,0.6214,0.68284,0.443,1.32095,1.62229,1.61348,0.00068075,0.00068075,0.00068075
48,2337.71,0.83887,0.92341,1.15565,0.79297,0.68204,0.72348,0.47164,1.29002,1.4172,1.55404,0.000668375,0.000668375,0.000668375
49,2386.6,0.76155,0.84186,1.10224,0.7467,0.6677,0.72147,0.46607,1.30586,1.51396,1.58961,0.000656,0.000656,0.000656
50,2436.02,0.76678,0.82671,1.09698,0.72566,0.65288,0.67053,0.43055,1.31597,1.6325,1.62794,0.000643625,0.000643625,0.000643625
51,2485.6,0.78573,0.8147,1.10199,0.72751,0.71714,0.68159,0.42937,1.32084,1.66549,1.62877,0.00063125,0.00063125,0.00063125
52,2534.95,0.7854,0.80883,1.08241,0.77396,0.67833,0.72127,0.46103,1.28484,1.46562,1.65639,0.000618875,0.000618875,0.000618875
53,2584.33,0.72226,0.76788,1.04755,0.77374,0.69204,0.71158,0.4564,1.31878,1.41623,1.66686,0.0006065,0.0006065,0.0006065
54,2632.75,0.78971,0.79251,1.10479,0.81172,0.63603,0.69905,0.45985,1.2982,1.44002,1.63663,0.000594125,0.000594125,0.000594125
55,2681.24,0.72186,0.75142,1.04761,0.79018,0.63854,0.69366,0.45015,1.276,1.41733,1.65826,0.00058175,0.00058175,0.00058175
56,2729.93,0.75377,0.72932,1.07908,0.72563,0.68127,0.71641,0.46445,1.32474,1.45888,1.64749,0.000569375,0.000569375,0.000569375
57,2778.39,0.68983,0.70831,1.0531,0.83955,0.6899,0.7465,0.48417,1.31401,1.40375,1.64721,0.000557,0.000557,0.000557
58,2827.42,0.72752,0.74727,1.07543,0.86984,0.67849,0.76677,0.49929,1.27414,1.34696,1.58151,0.000544625,0.000544625,0.000544625
59,2876.24,0.71417,0.71985,1.07188,0.84764,0.67107,0.78504,0.50249,1.30631,1.34111,1.57152,0.00053225,0.00053225,0.00053225
60,2924.84,0.68014,0.70112,1.0454,0.72794,0.7647,0.76249,0.48968,1.37806,1.40323,1.69446,0.000519875,0.000519875,0.000519875
61,2973.26,0.68637,0.6711,1.03791,0.80504,0.70684,0.74972,0.48256,1.3566,1.43132,1.70233,0.0005075,0.0005075,0.0005075
62,3021.79,0.64631,0.67965,1.02976,0.78701,0.72496,0.76375,0.47524,1.36531,1.37104,1.74661,0.000495125,0.000495125,0.000495125
63,3070.38,0.72415,0.72126,1.06135,0.77031,0.7522,0.76466,0.49048,1.34744,1.28514,1.69503,0.00048275,0.00048275,0.00048275
64,3119.87,0.70436,0.69353,1.04955,0.75852,0.74358,0.78228,0.53707,1.20891,1.29975,1.51961,0.000470375,0.000470375,0.000470375
65,3169.58,0.68459,0.68502,1.04436,0.76178,0.72229,0.76322,0.51696,1.22077,1.38157,1.54034,0.000458,0.000458,0.000458
66,3218.59,0.66941,0.66065,1.03177,0.79536,0.62552,0.68639,0.45963,1.26397,1.54449,1.5848,0.000445625,0.000445625,0.000445625
67,3267.25,0.68113,0.67978,1.03797,0.78275,0.65757,0.68245,0.4576,1.29451,1.52688,1.672,0.00043325,0.00043325,0.00043325
68,3316.18,0.69879,0.6806,1.06506,0.70288,0.71347,0.71211,0.47676,1.23034,1.4701,1.6154,0.000420875,0.000420875,0.000420875
69,3364.62,0.62242,0.65818,1.03155,0.82158,0.68495,0.72742,0.48799,1.19041,1.43198,1.5549,0.0004085,0.0004085,0.0004085
70,3413.17,0.66714,0.63778,1.0524,0.86049,0.65407,0.73511,0.50314,1.18445,1.43378,1.50999,0.000396125,0.000396125,0.000396125
71,3461.63,0.67304,0.6673,1.03301,0.82385,0.66664,0.7237,0.50904,1.19909,1.39935,1.54245,0.00038375,0.00038375,0.00038375
72,3510.29,0.651,0.59881,1.03992,0.81107,0.68026,0.73209,0.4917,1.24435,1.40128,1.59647,0.000371375,0.000371375,0.000371375
73,3558.9,0.67644,0.65399,1.04541,0.80787,0.70586,0.73671,0.50106,1.26311,1.36053,1.60117,0.000359,0.000359,0.000359
74,3607.28,0.61571,0.59932,1.01169,0.8201,0.72138,0.77034,0.50882,1.23847,1.36519,1.5913,0.000346625,0.000346625,0.000346625
