epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6515,2.02338,3.17159,2.04435,0.0014,0.32275,0.0027,0.00089,2.94449,4.68332,3.89841,0.0847,0.0017,0.0017
2,119.278,2.52893,3.12247,2.49269,0.37759,0.1336,0.01814,0.0082,2.9726,53.341,9.01257,0.0684654,0.00346535,0.00346535
3,182.801,2.64138,3.32432,2.60488,5e-05,0.0119,3e-05,2e-05,5.11754,31521.7,103.357,0.0521951,0.00519506,0.00519506
4,234.766,2.57332,3.30493,2.59652,8e-05,0.03571,6e-05,2e-05,5.01046,25415.3,696.476,0.0358891,0.00688913,0.00688913
5,280.966,2.52785,3.2767,2.53599,3e-05,0.0119,2e-05,1e-05,5.6138,41820.9,164.188,0.0195476,0.00854756,0.00854756
6,334.497,2.55489,3.26588,2.64596,0.33346,0.04762,0.0001,1e-05,4.45511,41639,145.086,0.009505,0.009505,0.009505
7,379.19,2.45409,3.17672,2.55073,0.00084,0.14418,0.00067,0.00017,3.94521,2950.82,38.1077,0.009406,0.009406,0.009406
8,424.264,2.4891,3.18825,2.57383,0.68519,0.0119,0.00231,0.00085,3.68106,640.507,14.6999,0.009307,0.009307,0.009307
9,466.287,2.38874,3.17299,2.5805,0.00262,0.17063,0.01366,0.00166,3.56026,688.884,11.1743,0.009208,0.009208,0.009208
10,507.059,2.26435,2.85163,2.39567,0.00055,0.03704,0.0002,5e-05,3.61771,4550.19,26.6841,0.009109,0.009109,0.009109
11,548.722,2.31993,3.11419,2.41236,0.00045,0.13095,0.00034,0.00011,3.89432,1007.98,15.8979,0.00901,0.00901,0.00901
12,591.579,2.34081,2.95116,2.46142,0.00174,0.1455,0.00114,0.00022,3.3892,397.317,8.7553,0.008911,0.008911,0.008911
13,633.818,2.36164,2.93959,2.38461,0.33974,0.03704,0.00197,0.00066,3.19018,307.848,9.09122,0.008812,0.008812,0.008812
14,671.727,2.26446,2.90006,2.37331,0.33636,0.10847,0.00153,0.00067,3.3964,197.129,7.42133,0.008713,0.008713,0.008713
15,709.656,2.25384,2.83319,2.37717,0.33699,0.26455,0.00239,0.0006,3.40817,120.376,6.83178,0.008614,0.008614,0.008614
16,747.279,2.20331,2.94257,2.33212,0.67464,0.05952,0.00468,0.00136,3.11988,21.1304,4.75295,0.008515,0.008515,0.008515
17,784.496,2.1997,2.78712,2.28408,0.68886,0.08333,0.01741,0.00585,3.05183,6.49262,3.52494,0.008416,0.008416,0.008416
18,822.115,2.23063,2.71959,2.25485,0.74759,0.13095,0.09597,0.03334,2.64242,3.8612,2.94451,0.008317,0.008317,0.008317
19,859.202,2.17543,2.74173,2.26385,0.7461,0.08333,0.0486,0.01827,2.55445,5.42538,2.8846,0.008218,0.008218,0.008218
20,897.105,2.19036,2.72294,2.27306,0.79206,0.09524,0.10615,0.04739,2.30054,5.2533,2.61971,0.008119,0.008119,0.008119
21,935.037,2.14189,2.67877,2.21602,0.47733,0.15393,0.12121,0.04585,2.4386,4.83247,2.76766,0.00802,0.00802,0.00802
22,971.873,2.17338,2.6686,2.23098,0.42516,0.15476,0.08977,0.0274,2.57903,4.51061,2.80836,0.007921,0.007921,0.007921
23,1008.64,2.17402,2.63382,2.23954,0.52965,0.09524,0.13666,0.0488,2.48816,4.67307,2.7934,0.007822,0.007822,0.007822
24,1045.77,2.15636,2.60026,2.19607,0.97001,0.05952,0.09581,0.04919,2.3997,5.53539,2.69839,0.007723,0.007723,0.007723
25,1082.63,2.09848,2.57828,2.2039,0.78738,0.10714,0.12985,0.05369,2.51555,3.82615,2.87486,0.007624,0.007624,0.007624
26,1125.31,2.2429,2.66176,2.25377,0.80069,0.16667,0.18915,0.06493,2.46521,3.77955,2.73669,0.007525,0.007525,0.007525
27,1162.44,2.14288,2.59376,2.20565,0.85618,0.14286,0.17059,0.07038,2.49852,4.37002,2.77013,0.007426,0.007426,0.007426
28,1200.14,2.14519,2.50256,2.1813,0.76566,0.07143,0.08214,0.03302,2.44044,5.39777,2.74658,0.007327,0.007327,0.007327
29,1237.67,2.12382,2.53951,2.15504,0.44619,0.1768,0.13572,0.04674,2.5558,3.7939,2.81597,0.007228,0.007228,0.007228
30,1274.78,2.07363,2.52293,2.12423,0.51705,0.24948,0.16586,0.06408,2.35106,3.66444,2.57668,0.007129,0.007129,0.007129
31,1312.09,2.14714,2.48606,2.16236,0.53859,0.18122,0.16803,0.07593,2.34598,4.5041,2.56893,0.00703,0.00703,0.00703
32,1349.27,2.1529,2.41218,2.2001,0.74875,0.18122,0.24338,0.0849,2.48263,4.17976,2.74518,0.006931,0.006931,0.006931
33,1386.28,2.08708,2.46611,2.1234,0.64796,0.18122,0.16404,0.06893,2.46713,3.4324,2.74566,0.006832,0.006832,0.006832
34,1426.28,2.09449,2.44865,2.11861,0.82462,0.13095,0.14829,0.04883,2.66359,3.84356,2.95877,0.006733,0.006733,0.006733
35,1463.37,2.07205,2.39298,2.1056,0.90584,0.14286,0.2185,0.07679,2.43146,3.49304,2.72019,0.006634,0.006634,0.006634
36,1500.98,2.13393,2.46796,2.18836,0.22438,0.22751,0.21093,0.07168,2.41518,3.30264,2.62441,0.006535,0.006535,0.006535
37,1538.73,2.04779,2.28461,2.10009,0.20702,0.32026,0.21429,0.08218,2.41772,3.66164,2.60039,0.006436,0.006436,0.006436
38,1576.1,2.07228,2.27186,2.08751,0.57769,0.21693,0.17996,0.06261,2.49394,3.91753,2.67916,0.006337,0.006337,0.006337
39,1612.98,2.06226,2.46718,2.12948,0.1386,0.2037,0.15405,0.06384,2.61449,3.62864,2.81522,0.006238,0.006238,0.006238
40,1649.98,2.0671,2.28882,2.09476,0.55485,0.17989,0.19013,0.07583,2.51293,3.18432,2.69978,0.006139,0.006139,0.006139
41,1687,1.98512,2.26268,2.068,0.49462,0.3254,0.19748,0.06885,2.35095,3.32547,2.58232,0.00604,0.00604,0.00604
42,1723.8,1.97415,2.30323,2.05363,0.16563,0.27941,0.23921,0.09517,2.29867,2.98051,2.69928,0.005941,0.005941,0.005941
43,1760.72,2.01535,2.30771,2.11938,0.59869,0.20789,0.27888,0.10851,2.36275,2.93334,2.74435,0.005842,0.005842,0.005842
44,1798.07,2.06608,2.45574,2.12857,0.63797,0.21693,0.30842,0.11973,2.38216,3.0537,2.61574,0.005743,0.005743,0.005743
45,1835.55,2.02396,2.3048,2.08854,0.26442,0.30205,0.2697,0.10602,2.26145,3.14466,2.53585,0.005644,0.005644,0.005644
46,1872.49,2.02934,2.28715,2.02972,0.20728,0.33598,0.21064,0.08255,2.40114,3.05945,2.60083,0.005545,0.005545,0.005545
47,1909.44,1.93325,2.23038,2.05828,0.57372,0.30026,0.25391,0.08157,2.36155,3.09913,2.57215,0.005446,0.005446,0.005446
48,1946.22,2.02382,2.29289,2.07967,0.56391,0.26003,0.24392,0.09676,2.38518,3.05703,2.629,0.005347,0.005347,0.005347
49,1983.23,1.9989,2.39281,2.12553,0.59831,0.17989,0.23901,0.10236,2.27408,2.8033,2.50618,0.005248,0.005248,0.005248
50,2021.07,2.05668,2.25046,2.08619,0.32955,0.33598,0.27904,0.11146,2.15668,3.49615,2.49252,0.005149,0.005149,0.005149
