epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3486,1.95,3.38342,1.7531,0.00444,0.35298,0.04015,0.01427,2.45729,3.73915,2.26745,0.0928,0.0008,0.0008
2,46.3785,1.93307,2.80259,1.71932,0.00374,0.31783,0.00359,0.00098,2.77526,4.42636,3.52541,0.0846832,0.00168317,0.00168317
3,65.6684,2.06728,2.75802,1.87464,0.27974,0.05682,0.01623,0.00444,3.02938,4.47548,3.50001,0.0765485,0.00254852,0.00254852
4,84.6881,2.0325,2.75816,1.90452,0.26863,0.04261,0.01485,0.00312,2.97474,7.43363,5.06646,0.0683961,0.00339605,0.00339605
5,104.661,2.0293,2.70548,1.91205,0.0051,0.27841,0.00398,0.00117,3.02369,1001.39,14.6001,0.0602258,0.00422576,0.00422576
6,125.992,2.11445,2.70928,2.01413,0.00207,0.12358,0.00152,0.00042,3.49064,7396.36,62.2351,0.0520377,0.00503765,0.00503765
7,146.902,2.08197,2.74075,1.97775,0.0026,0.15732,0.00196,0.00056,2.96686,3952.63,22.3112,0.0438317,0.00583172,0.00583172
8,171.801,2.02958,2.6573,1.95851,0.00327,0.04226,0.00178,0.00062,3.3481,11239.1,10.7605,0.035608,0.00660797,0.00660797
9,195.99,2.07495,2.63145,2.01351,0.00226,0.28871,0.00205,0.00078,3.48426,3266.46,9.35034,0.0273664,0.0073664,0.0073664
10,218.093,2.09009,2.56838,2.0059,0.00561,0.07599,0.00444,0.00105,3.62225,665.951,9.15395,0.019107,0.00810701,0.00810701
11,240.919,2.06726,2.69921,1.94139,0.00289,0.038,0.00337,0.0008,3.73848,479.106,8.70305,0.0108298,0.0088298,0.0088298
12,263.689,2.13733,2.70971,1.98665,0.25468,0.05682,0.00299,0.00084,3.63689,535.184,9.31543,0.008911,0.008911,0.008911
13,285.74,2.04985,2.47283,1.94,0.51163,0.02273,0.00768,0.00193,3.74945,338.206,7.99179,0.008812,0.008812,0.008812
14,307.834,2.08698,2.44655,1.97531,0.25305,0.13352,0.00219,0.00047,3.9985,208.08,8.33086,0.008713,0.008713,0.008713
15,327.487,2.05268,2.46149,1.89819,0.50728,0.08132,0.0044,0.00133,3.27331,46.9872,4.3996,0.008614,0.008614,0.008614
16,347.75,2.0404,2.4775,1.86919,0.50925,0.09304,0.00518,0.00148,2.81324,60.8436,3.87831,0.008515,0.008515,0.008515
17,367.57,2.05203,2.46111,1.95058,0.28403,0.12393,0.01908,0.00756,2.7938,31.2127,3.92219,0.008416,0.008416,0.008416
18,387.521,1.94905,2.3312,1.85554,0.03026,0.1701,0.02745,0.008,2.77101,19.6784,3.40427,0.008317,0.008317,0.008317
19,406.763,1.90721,2.2833,1.81005,0.04708,0.42188,0.06815,0.01116,2.78973,23.1266,3.56662,0.008218,0.008218,0.008218
20,425.963,1.96311,2.24602,1.82106,0.03801,0.26811,0.0604,0.01842,2.6466,21.7276,3.25245,0.008119,0.008119,0.008119
21,445.099,1.91968,2.33708,1.80511,0.06114,0.30587,0.05895,0.01935,2.57146,17.1613,2.95913,0.00802,0.00802,0.00802
22,464.335,1.86403,2.17652,1.77204,0.08329,0.23505,0.04779,0.01587,2.55694,7.71134,2.60754,0.007921,0.007921,0.007921
23,483.29,1.9093,2.21911,1.76332,0.06731,0.32741,0.04642,0.01691,2.57288,3.91459,2.53519,0.007822,0.007822,0.007822
24,502.073,1.85197,2.16135,1.7662,0.07931,0.10105,0.05997,0.01945,2.5044,3.6504,2.49731,0.007723,0.007723,0.007723
25,520.737,1.8272,2.18242,1.76125,0.20456,0.12301,0.1146,0.04564,2.46162,3.01117,2.43195,0.007624,0.007624,0.007624
26,539.484,1.83359,2.13567,1.77138,0.39243,0.17038,0.15356,0.05243,2.47918,2.93473,2.54338,0.007525,0.007525,0.007525
27,558.371,1.82119,2.10495,1.77597,0.61274,0.09553,0.09306,0.03084,2.39896,3.50065,2.50473,0.007426,0.007426,0.007426
28,577.233,1.79422,2.11717,1.75907,0.59882,0.10724,0.08242,0.03173,2.45635,3.5341,2.56896,0.007327,0.007327,0.007327
29,596.121,1.84857,2.12349,1.80267,0.65138,0.10964,0.08752,0.02788,2.53257,3.99016,2.66942,0.007228,0.007228,0.007228
30,615.335,1.86181,2.1309,1.80994,0.12597,0.18146,0.11087,0.03788,2.38702,4.97791,2.42038,0.007129,0.007129,0.007129
31,634.619,1.82678,2.08018,1.75796,0.52424,0.13478,0.15423,0.06469,2.19926,4.59264,2.16646,0.00703,0.00703,0.00703
32,654.041,1.79434,2.03059,1.71193,0.62281,0.17294,0.0964,0.03316,2.43814,6.76674,2.33901,0.006931,0.006931,0.006931
33,673.129,1.83591,2.09965,1.7614,0.31838,0.19064,0.06821,0.02457,2.44939,4.9134,2.3559,0.006832,0.006832,0.006832
34,692.1,1.87024,1.9941,1.76646,0.36581,0.16122,0.11442,0.04198,2.32222,3.07639,2.28952,0.006733,0.006733,0.006733
35,711.161,1.80704,1.93806,1.75073,0.15128,0.25213,0.18669,0.06521,2.32707,2.88014,2.24225,0.006634,0.006634,0.006634
36,729.994,1.76676,2.0269,1.71318,0.64525,0.12251,0.1088,0.03704,2.41037,3.12068,2.36201,0.006535,0.006535,0.006535
