epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0707,1.12436,2.71298,1.53498,0.00333,1,0.28638,0.16606,0.6098,3.23913,1.10954,6e-05,6e-05,6e-05
2,37.8165,0.79267,2.40299,1.32707,0.00333,1,0.995,0.82174,0.27063,3.05678,0.66198,0.000137228,0.000137228,0.000137228
3,53.5416,0.82915,1.93578,1.36327,0.00333,1,0.87833,0.85004,0.28608,2.81278,0.68197,0.000211288,0.000211288,0.000211288
4,69.2603,0.82988,1.78716,1.36672,0.00333,1,0.71071,0.50029,0.40738,2.91966,0.94948,0.00028218,0.00028218,0.00028218
5,85.8171,0.77342,1.46948,1.26391,0.00333,1,0.70458,0.60042,0.37351,2.95713,0.85853,0.000349904,0.000349904,0.000349904
6,102.381,0.74387,1.3139,1.29125,0.14059,1,0.995,0.93387,0.35158,2.73905,0.83787,0.00041446,0.00041446,0.00041446
7,118.673,0.87671,1.45731,1.35141,1,0.81907,0.995,0.93106,0.38752,2.52911,0.81063,0.000475848,0.000475848,0.000475848
8,134.86,0.80303,1.24228,1.29786,1,0.92609,0.995,0.86453,0.63827,2.5778,1.2287,0.000534068,0.000534068,0.000534068
9,151.454,0.83238,1.42105,1.31807,0.96768,0.8,0.96167,0.78628,0.62217,2.54245,1.29328,0.00058912,0.00058912,0.00058912
10,167.722,0.84605,1.2985,1.40195,0.69374,0.8,0.75667,0.64367,0.59182,2.66534,1.21074,0.000641004,0.000641004,0.000641004
11,184,0.76757,1.26975,1.28896,0.44791,0.6,0.575,0.46779,0.78984,2.77408,1.15131,0.00068972,0.00068972,0.00068972
12,199.981,0.78112,1.14884,1.30183,0.96276,1,0.995,0.7183,0.7321,2.19654,1.45821,0.000735268,0.000735268,0.000735268
13,215.322,0.8549,1.27311,1.37751,0.98202,1,0.995,0.71128,0.79525,2.36093,1.6801,0.000777648,0.000777648,0.000777648
14,231.081,0.90573,1.26404,1.3886,0.99496,1,0.995,0.86356,0.60466,2.19121,1.2389,0.00081686,0.00081686,0.00081686
15,246.443,0.83039,1.14375,1.27838,0.98062,1,0.995,0.85315,0.42307,1.9557,0.91653,0.000852904,0.000852904,0.000852904
16,262.349,0.73692,1.1152,1.25767,0.99377,1,0.995,0.72732,0.64169,2.34886,0.92664,0.00088578,0.00088578,0.00088578
17,278.508,0.76428,1.17414,1.24134,0.99975,1,0.995,0.90022,0.51345,1.59288,0.96873,0.000915488,0.000915488,0.000915488
18,294.758,0.83661,1.17926,1.31362,1,0.99161,0.995,0.85522,0.51336,1.72065,0.92261,0.000942028,0.000942028,0.000942028
19,310.993,0.74579,1.09669,1.20468,0.98381,0.8,0.96167,0.79773,0.6109,1.94966,0.91242,0.0009654,0.0009654,0.0009654
20,326.634,0.75023,1.09217,1.2581,0.96917,0.8,0.895,0.50482,1.25607,2.76463,1.40529,0.000985604,0.000985604,0.000985604
21,342.653,0.75969,1.04054,1.20923,0.92637,0.8,0.86167,0.44707,1.66655,2.7666,2.07953,0.00100264,0.00100264,0.00100264
22,358.807,0.61668,0.94093,1.15747,0.99302,0.8,0.85382,0.47335,1.43227,2.78955,1.81806,0.00101651,0.00101651,0.00101651
23,374.427,0.74342,1.07453,1.22908,0.97691,0.8,0.83204,0.70916,0.77996,2.11705,1.1834,0.00102721,0.00102721,0.00102721
24,389.88,0.71475,1.00805,1.22121,0.97994,0.8,0.8575,0.80659,0.53965,1.57981,0.88886,0.00103474,0.00103474,0.00103474
25,405.822,0.67984,0.98374,1.1955,1,0.98992,0.995,0.87517,0.38922,1.45181,0.75908,0.0010391,0.0010391,0.0010391
26,421.913,0.76786,1.03047,1.2743,1,0.98547,0.995,0.97503,0.34014,1.46564,0.66515,0.00101,0.00101,0.00101
